amount,hour_of_day,velocity,geo_distance,is_fraud
626.66,0,0.0,0.0,0
981.35,20,0.06666666666666667,0.0,0
359.63,3,0.06666666666666667,0.0,0
1086.65,17,0.07039224121074655,0.0,0
1504.48,2,0.11577424023154849,1200.0,1
2241.21,2,60.0,1200.0,1
1184.6,10,0.06666666666666667,306.49049080317803,0
600.31,20,0.06666666666666667,0.0,0
960.86,14,0.06666666666666667,0.0,0
422.49,18,0.06666666666666667,0.0,0
1122.74,18,0.0,0.0,0
818.71,13,0.06666666666666667,0.0,0
338.64,3,0.0691031941031941,0.0,0
604.03,2,0.06666666666666667,0.0,0
288.99,1,0.06666666666666667,306.49049080317803,1
17.09,5,0.06666666666666667,306.49049080317803,0
301.67,11,0.06666666666666667,0.0,0
379.8,23,0.06666666666666667,0.0,0
411.98,15,0.06666666666666667,0.0,0
4536.59,0,0.06666666666666667,1200.0,1
73.48,18,0.06666666666666667,1200.0,0
269.27,8,0.0,0.0,0
73.5,22,0.06666666666666667,0.0,0
2556.15,0,0.34735623311462754,306.49049080317803,1
339.52,20,0.06666666666666667,306.49049080317803,0
185.54,4,0.06666666666666667,0.0,0
530.72,17,0.06666666666666667,0.0,0
658.16,13,0.06666666666666667,0.0,0
2802.55,0,0.06666666666666667,1200.0,1
505.15,23,0.0,0.0,0
618.36,1,0.5280915358662168,0.0,0
253.11,1,0.06666666666666667,0.0,0
104.71,5,0.06666666666666667,0.0,0
476.84,17,0.06666666666666667,0.0,0
1115.03,3,0.06666666666666667,0.0,0
31.92,9,0.1655933762649494,0.0,0
412.02,12,0.06666666666666667,0.0,0
868.96,22,0.06666666666666667,0.0,0
655.54,5,0.0,0.0,0
609.71,5,0.06666666666666667,0.0,0
1102.99,4,0.06666666666666667,0.0,0
403.9,2,0.06666666666666667,0.0,0
636.05,14,0.08532423208191126,0.0,0
851.74,8,0.06666666666666667,0.0,0
786.48,10,0.06666666666666667,0.0,0
848.6,9,0.06666666666666667,0.0,0
1161.51,21,0.0,0.0,0
138.05,8,0.06666666666666667,0.0,0
5232.64,0,0.06666666666666667,1200.0,1
1620.39,0,60.0,0.0,1
69.88,0,0.06666666666666667,1200.0,0
717.4,1,0.06666666666666667,0.0,0
1006.87,5,0.0,0.0,0
834.69,12,0.06666666666666667,0.0,0
5443.8,0,0.06666666666666667,0.0,1
346.57,21,0.06666666666666667,0.0,0
1155.09,12,0.06666666666666667,0.0,0
679.39,8,0.06666666666666667,0.0,0
47.39,7,0.06666666666666667,0.0,0
1075.48,11,0.0,0.0,0
304.97,15,0.06666666666666667,0.0,0
456.35,13,0.06666666666666667,0.0,0
935.39,2,0.06666666666666667,0.0,0
133.37,1,0.06666666666666667,1200.0,1
1670.73,1,60.0,0.0,1
95.24,3,0.06666666666666667,1200.0,0
481.75,18,0.0,0.0,0
766.13,19,0.06666666666666667,0.0,0
530.22,7,0.06666666666666667,0.0,0
1171.64,10,0.06666666666666667,0.0,0
721.85,7,0.06666666666666667,0.0,0
1604.51,1,0.06666666666666667,1200.0,1
4348.69,1,60.0,0.0,1
884.56,13,0.06666666666666667,1200.0,0
5445.96,3,0.06666666666666667,0.0,1
3613.19,4,0.0,0.0,1
3473.84,4,60.0,1200.0,1
2274.81,4,60.0,1200.0,1
1148.54,18,0.06666666666666667,306.49049080317803,0
992.95,5,0.06666666666666667,0.0,0
1556.57,0,0.06666666666666667,0.0,1
1194.67,3,0.30495552731893266,0.0,0
441.26,8,0.22913881993507734,0.0,0
397.16,21,0.06666666666666667,0.0,0
849.75,13,0.06666666666666667,0.0,0
993.14,0,0.08882090251905948,0.0,0
920.11,5,0.06666666666666667,0.0,0
1156.61,23,0.06666666666666667,0.0,0
855.78,5,0.0,0.0,0
515.69,16,0.0893544143562759,0.0,0
227.43,1,0.06666666666666667,0.0,0
128.01,4,0.06666666666666667,0.0,0
